participant	gender	age	handedness	block_num	trial_num	practicing	mask_type	mask_size	background	figure	d_orientation	rt	response	initial_fixation
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	2	False	peripheral	4	circle	background	0	1.40989112854	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	3	False	central	6	circle	figure	0	1.50432682037	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	4	False	central	4	circle	figure	0	0.761822938919	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	5	False	central	6	square	figure	270	0.878081083298	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	6	False	peripheral	8	circle	background	180	0.647782087326	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	7	False	central	8	circle	figure	180	2.22208595276	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	8	False	central	4	square	background	180	0.698411941528	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	9	False	peripheral	6	circle	background	270	1.0767929554	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	10	False	central	8	square	background	270	1.68278408051	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	11	False	peripheral	8	circle	figure	270	0.645555973053	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	12	False	central	4	circle	background	270	0.697266101837	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	13	False	central	6	circle	background	0	1.35861301422	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	14	False	peripheral	6	square	background	0	0.645143032074	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	15	False	peripheral	4	square	background	0	0.730848073959	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	16	False	peripheral	4	circle	figure	270	1.34529900551	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	17	False	peripheral	8	square	figure	0	0.773422956467	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	18	False	central	6	square	background	90	0.622745990753	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	19	False	peripheral	6	square	figure	90	0.621233940125	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	20	False	central	8	square	figure	0	2.71226477623	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	21	False	central	4	square	figure	180	1.37229394913	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	22	False	central	8	circle	background	270	1.48157000542	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	23	False	peripheral	6	circle	figure	0	1.15248298645	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	24	False	peripheral	8	square	background	90	0.621700048447	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	1	False	peripheral	6	circle	figure	0	0.9714448452	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	2	False	peripheral	8	square	background	270	0.846376895905	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	3	False	central	6	square	figure	180	0.704119920731	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	4	False	central	4	square	figure	90	0.649777889252	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	5	False	peripheral	4	circle	background	0	0.667925834656	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	6	False	peripheral	4	square	figure	270	1.38309979439	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	7	False	peripheral	4	circle	figure	0	0.793586015701	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	8	False	central	8	circle	background	270	0.930009841919	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	9	False	central	4	square	background	180	0.649245977402	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	10	False	central	6	square	background	270	1.11799788475	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	11	False	peripheral	6	circle	background	270	0.867560863495	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	12	False	peripheral	6	square	background	270	0.653971910477	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	13	False	central	8	square	figure	90	2.36475586891	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	14	False	central	8	circle	figure	90	2.59121489525	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	15	False	peripheral	4	square	background	270	1.22168207169	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	16	False	peripheral	8	square	figure	0	2.43795585632	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	17	False	central	4	circle	background	90	1.74486088753	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	18	False	peripheral	6	square	figure	90	1.01365303993	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	19	False	peripheral	8	circle	background	270	0.927237033844	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	20	False	central	8	square	background	0	1.30163693428	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	21	False	central	4	circle	figure	270	0.762861967087	CIRCLE	BOTTOM
